Month/Year: 05/2013
Station Location: LOS ANGELES INTERNATIONAL AIRPORT (23174)
Lat: 33.938
Lon: -118.388
Elev: 97 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23174,20130501,0843,11,SCT020 BKN030, ,10.00, , , ,66, ,19.0, ,59, ,15.0, ,54, ,12.0, , 65, , 5, ,280, , , ,29.65, , , , , ,M, ,SP, , , ,30.00, 
23174,20130501,0853,11,SCT020 BKN030, ,10.00, , , ,64, ,17.8, ,58, ,14.6, ,54, ,12.2, , 70, , 0, ,000, , , ,29.66, , , , , ,30.00, ,AA, , , ,30.01, 
23174,20130501,0953,11,SCT020 BKN030, ,10.00, , , ,66, ,18.9, ,59, ,15.0, ,54, ,12.2, , 65, , 3, ,270, , , ,29.66, , , , , ,30.01, ,AA, , , ,30.01, 
23174,20130501,1053,11,FEW025, ,10.00, , , ,69, ,20.6, ,60, ,15.7, ,54, ,12.2, , 59, ,11, ,270, , , ,29.66, , , , , ,30.01, ,AA, , , ,30.01, 
23174,20130501,1153,11,CLR, ,10.00, , , ,71, ,21.7, ,61, ,15.8, ,53, ,11.7, , 53, ,11, ,240, , , ,29.65, , , , , ,30.00, ,AA, , , ,30.00, 
23174,20130501,1253,11,CLR, ,10.00, , , ,69, ,20.6, ,59, ,15.1, ,52, ,11.1, , 55, ,13, ,260, , , ,29.65, , , , , ,29.99, ,AA, , , ,30.00, 
23174,20130501,1353,11,CLR, ,10.00, , , ,69, ,20.6, ,60, ,15.7, ,54, ,12.2, , 59, ,14, ,250, , , ,29.64, , , , , ,29.99, ,AA, , , ,29.99, 
23174,20130501,1453,11,FEW015, ,10.00, , , ,68, ,20.0, ,60, ,15.5, ,54, ,12.2, , 61, ,15, ,260, , , ,29.64, , , , , ,29.98, ,AA, , , ,29.99, 
23174,20130501,1553,11,FEW015, ,10.00, , , ,67, ,19.4, ,60, ,15.5, ,55, ,12.8, , 66, ,16, ,270, , , ,29.63, , , , , ,29.98, ,AA, , , ,29.98, 
23174,20130501,1653,11,FEW015, ,10.00, , , ,66, ,18.9, ,60, ,15.6, ,56, ,13.3, , 70, ,16, ,270, , , ,29.63, , , , , ,29.98, ,AA, , , ,29.98, 
23174,20130501,1753,11,CLR, ,10.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, ,13, ,270, , , ,29.63, , , , , ,29.98, ,AA, , , ,29.98, 
23174,20130501,1853,11,CLR, ,10.00, , , ,63, ,17.2, ,59, ,14.9, ,56, ,13.3, , 78, ,10, ,250, , , ,29.66, , , , , ,30.00, ,AA, , , ,30.01, 
23174,20130501,1953,11,CLR, ,10.00, , , ,62, ,16.7, ,59, ,14.7, ,56, ,13.3, , 81, , 8, ,250, , , ,29.69, , , , , ,30.03, ,AA, , , ,30.04, 
23174,20130501,2053,11,CLR, ,10.00, , , ,62, ,16.7, ,59, ,14.7, ,56, ,13.3, , 81, , 9, ,240, , , ,29.73, , , , , ,30.07, ,AA, , , ,30.08, 
23174,20130501,2153,11,FEW015, ,10.00, , , ,61, ,16.1, ,58, ,14.5, ,56, ,13.3, , 84, , 8, ,270, , , ,29.74, , , , , ,30.09, ,AA, , , ,30.09, 
23174,20130501,2253,11,FEW010 SCT022, ,10.00, , , ,61, ,16.1, ,59, ,14.8, ,57, ,13.9, , 87, , 6, ,270, , , ,29.75, , , , , ,30.09, ,AA, , , ,30.10, 
23174,20130501,2353,11,FEW010 SCT022, ,10.00, , , ,61, ,16.1, ,58, ,14.5, ,56, ,13.3, , 84, , 6, ,280, , , ,29.75, , , , , ,30.09, ,AA, , , ,30.10, 
23174,20130502,0053,11,FEW010, ,10.00, , , ,60, ,15.6, ,58, ,14.2, ,56, ,13.3, , 87, , 6, ,260, , , ,29.74, , , , , ,30.09, ,AA, , , ,30.09, 
23174,20130502,0153,11,FEW010, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, , 3, ,270, , , ,29.74, , , , , ,30.09, ,AA, , , ,30.09, 
23174,20130502,0253,11,FEW010, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, , 3, ,290, , , ,29.74, , , , , ,30.09, ,AA, , , ,30.09, 
23174,20130502,0353,11,FEW010, ,10.00, , , ,59, ,15.0, ,57, ,13.7, ,55, ,12.8, , 87, , 3, ,330, , , ,29.74, , , , , ,30.08, ,AA, , , ,30.09, 
23174,20130502,0453,11,FEW009 SCT025, ,10.00, ,BCFG, ,58, ,14.4, ,56, ,13.5, ,55, ,12.8, , 90, , 0, ,000, , , ,29.75, , , , , ,30.09, ,AA, , , ,30.10, 
23174,20130502,0553,11,FEW008, ,10.00, ,BCFG, ,60, ,15.6, ,57, ,13.9, ,55, ,12.8, , 84, , 7, ,300, , , ,29.76, , , , , ,30.10, ,AA, , , ,30.11, 
23174,20130502,0653,11,FEW008, ,10.00, ,FU, ,62, ,16.7, ,58, ,14.4, ,55, ,12.8, , 78, , 3, ,340, , , ,29.77, , , , , ,30.11, ,AA, , , ,30.12, 
23174,20130502,0753,11,FEW010, ,10.00, , , ,67, ,19.4, ,60, ,15.5, ,55, ,12.8, , 66, , 5, ,240, , , ,29.77, , , , , ,30.11, ,AA, , , ,30.12, 
23174,20130502,0853,11,CLR, ,10.00, , , ,69, ,20.6, ,61, ,16.0, ,55, ,12.8, , 61, , 8, ,270, , , ,29.78, , , , , ,30.12, ,AA, , , ,30.13, 
23174,20130502,0953,11,CLR, ,10.00, , , ,70, ,21.1, ,61, ,16.2, ,55, ,12.8, , 59, ,10, ,280, , , ,29.78, , , , , ,30.13, ,AA, , , ,30.13, 
23174,20130502,1053,11,CLR, ,10.00, , , ,75, ,23.9, ,61, ,16.2, ,51, ,10.6, , 43, , 8, ,260, , , ,29.77, , , , , ,30.12, ,AA, , , ,30.12, 
23174,20130502,1153,11,CLR, ,10.00, , , ,75, ,23.9, ,62, ,16.4, ,52, ,11.1, , 45, ,13, ,260, , , ,29.75, , , , , ,30.10, ,AA, , , ,30.10, 
23174,20130502,1253,11,CLR, ,10.00, , , ,75, ,23.9, ,63, ,17.0, ,54, ,12.2, , 48, ,15, ,280, , , ,29.74, , , , , ,30.09, ,AA, , , ,30.09, 
23174,20130502,1353,11,FEW015, ,10.00, , , ,74, ,23.3, ,63, ,17.3, ,56, ,13.3, , 54, ,15, ,280, , , ,29.72, , , , , ,30.07, ,AA, , , ,30.07, 
23174,20130502,1453,11,CLR, ,10.00, , , ,74, ,23.3, ,61, ,16.2, ,52, ,11.1, , 46, ,11, ,270, , , ,29.70, , , , , ,30.04, ,AA, , , ,30.05, 
23174,20130502,1553,11,CLR, ,10.00, , , ,70, ,21.1, ,61, ,16.2, ,55, ,12.8, , 59, ,14, ,270, , , ,29.68, , , , , ,30.03, ,AA, , , ,30.03, 
23174,20130502,1653,11,CLR, ,10.00, , , ,71, ,21.7, ,61, ,15.8, ,53, ,11.7, , 53, ,11, ,270, , , ,29.66, , , , , ,30.01, ,AA, , , ,30.01, 
23174,20130502,1753,11,FEW250, ,10.00, , , ,69, ,20.6, ,59, ,15.1, ,52, ,11.1, , 55, ,10, ,260, , , ,29.65, , , , , ,30.00, ,AA, , , ,30.00, 
23174,20130502,1853,11,FEW020 SCT250, ,10.00, , , ,66, ,18.9, ,59, ,14.7, ,53, ,11.7, , 63, , 6, ,240, , , ,29.65, , , , , ,30.00, ,AA, , , ,30.00, 
23174,20130502,1953,11,CLR, ,10.00, , , ,66, ,18.9, ,58, ,14.5, ,52, ,11.1, , 61, , 6, ,270, , , ,29.65, , , , , ,29.99, ,AA, , , ,30.00, 
23174,20130502,2053,11,CLR, ,10.00, , , ,67, ,19.4, ,59, ,15.0, ,53, ,11.7, , 61, , 6, ,240, , , ,29.65, , , , , ,29.99, ,AA, , , ,30.00, 
23174,20130502,2153,11,CLR, ,10.00, , , ,66, ,18.9, ,59, ,14.7, ,53, ,11.7, , 63, , 5, ,110, , , ,29.65, , , , , ,30.00, ,AA, , , ,30.00, 
23174,20130502,2253,11,CLR, ,10.00, , , ,65, ,18.3, ,58, ,14.2, ,52, ,11.1, , 63, , 0, ,000, , , ,29.66, , , , , ,30.00, ,AA, , , ,30.01, 
23174,20130502,2353,11,CLR, ,10.00, , , ,64, ,17.8, ,57, ,14.0, ,52, ,11.1, , 65, , 5, ,050, , , ,29.66, , , , , ,30.00, ,AA, , , ,30.01, 
23174,20130503,0053,11,CLR, ,10.00, , , ,66, ,18.9, ,57, ,13.7, ,49, ,9.4, , 54, , 5, ,060, , , ,29.63, , , , , ,29.97, ,AA, , , ,29.98, 
23174,20130503,0153,11,CLR, ,10.00, , , ,67, ,19.4, ,55, ,12.9, ,45, ,7.2, , 45, , 0, ,000, , , ,29.62, , , , , ,29.96, ,AA, , , ,29.97, 
23174,20130503,0253,11,CLR, ,10.00, , , ,64, ,17.8, ,53, ,11.7, ,43, ,6.1, , 47, , 3, ,040, , , ,29.61, , , , , ,29.95, ,AA, , , ,29.96, 
23174,20130503,0353,11,CLR, ,10.00, , , ,67, ,19.4, ,50, ,10.1, ,32, ,0.0, , 27, , 3, ,060, , , ,29.60, , , , , ,29.94, ,AA, , , ,29.95, 
23174,20130503,0453,11,FEW015 SCT150 SCT250, ,10.00, , , ,66, ,18.9, ,48, ,8.6, ,24, ,-4.4, , 20, , 5, ,070, , , ,29.58, , , , , ,29.92, ,AA, , , ,29.93, 
23174,20130503,0553,11,FEW010 SCT050 SCT220, ,10.00, , , ,66, ,18.9, ,48, ,8.7, ,25, ,-3.9, , 21, , 0, ,000, , , ,29.59, , , , , ,29.93, ,AA, , , ,29.94, 
23174,20130503,0653,11,FEW010 SCT220, ,10.00, , , ,73, ,22.8, ,50, ,9.8, ,20, ,-6.7, , 13, , 5, ,050, , , ,29.58, , , , , ,29.93, ,AA, , , ,29.93, 
23174,20130503,0753,11,FEW015 SCT250, ,10.00, , , ,81, ,27.2, ,53, ,11.3, ,16, ,-8.9, , 9, , 0, ,000, , , ,29.57, , , , , ,29.92, ,AA, , , ,29.92, 
23174,20130503,0853,11,FEW012 SCT250, ,10.00, , , ,85, ,29.4, ,54, ,12.4, ,17, ,-8.3, , 8, , 0, ,000, , , ,29.56, , , , , ,29.91, ,AA, , , ,29.91, 
23174,20130503,0953,11,FEW015 SCT160 SCT250, ,10.00, , , ,88, ,31.1, ,55, ,12.5, ,9, ,-12.8, , 5, , 0, ,000, , , ,29.56, , , , , ,29.91, ,AA, , , ,29.91, 
23174,20130503,1053,11,FEW020 SCT160 SCT250, ,10.00, , , ,89, ,31.7, ,56, ,13.1, ,14, ,-10.0, , 6, , 9, ,260, , , ,29.55, , , , , ,29.90, ,AA, , , ,29.90, 
23174,20130503,1153,11,FEW025 SCT160 BKN250, , 9.00, , , ,82, ,27.8, ,61, ,15.9, ,44, ,6.7, , 26, ,13, ,250, , , ,29.53, , , , , ,29.88, ,AA, , , ,29.88, 
23174,20130503,1253,11,FEW030 SCT160 BKN250, ,10.00, , , ,79, ,26.1, ,60, ,15.7, ,46, ,7.8, , 31, ,15, ,260, , , ,29.52, , , , , ,29.86, ,AA, , , ,29.87, 
23174,20130503,1353,11,SCT160 BKN250, ,10.00, , , ,79, ,26.1, ,58, ,14.6, ,41, ,5.0, , 26, ,14, ,250, , , ,29.50, , , , , ,29.85, ,AA, , , ,29.85, 
23174,20130503,1453,11,SCT160 BKN250, ,10.00, , , ,79, ,26.1, ,59, ,14.9, ,42, ,5.6, , 27, ,15, ,250, , , ,29.48, , , , , ,29.82, ,AA, , , ,29.83, 
23174,20130503,1553,11,FEW030 SCT150 BKN250, ,10.00, , , ,76, ,24.4, ,60, ,15.6, ,48, ,8.9, , 37, ,17, ,270, , , ,29.47, , , , , ,29.81, ,AA, , , ,29.82, 
23174,20130503,1653,11,FEW060 SCT150 BKN200, ,10.00, , , ,77, ,25.0, ,55, ,12.9, ,34, ,1.1, , 21, ,10, ,260, , , ,29.44, , , , , ,29.79, ,AA, , , ,29.79, 
23174,20130503,1751,11,FEW005 SCT150 BKN200, ,10.00, , , ,72, ,22.0, ,59, ,14.7, ,48, ,9.0, , 43, , 8, ,260, , , ,29.44, , , , , ,M, ,SP, , , ,29.79, 
23174,20130503,1753,11,FEW005 SCT150 BKN200, ,10.00, , , ,72, ,22.2, ,58, ,14.5, ,47, ,8.3, , 41, , 8, ,260, , , ,29.44, , , , , ,29.78, ,AA, , , ,29.79, 
23174,20130503,1853,11,SCT150 BKN200, ,10.00, , , ,71, ,21.7, ,57, ,14.0, ,46, ,7.8, , 41, , 8, ,260, , , ,29.44, , , , , ,29.79, ,AA, , , ,29.79, 
23174,20130503,1953,11,FEW010 SCT150 BKN200, ,10.00, , , ,70, ,21.1, ,57, ,13.8, ,46, ,7.8, , 42, , 7, ,280, , , ,29.44, , , , , ,29.78, ,AA, , , ,29.79, 
23174,20130503,2053,11,FEW150 BKN200, ,10.00, , , ,68, ,20.0, ,57, ,13.8, ,48, ,8.9, , 49, , 5, ,250, , , ,29.45, , , , , ,29.79, ,AA, , , ,29.80, 
23174,20130503,2153,11,SCT200, ,10.00, , , ,67, ,19.4, ,59, ,14.7, ,52, ,11.1, , 59, , 3, ,190, , , ,29.46, , , , , ,29.80, ,AA, , , ,29.81, 
23174,20130503,2253,11,SCT200, ,10.00, , , ,65, ,18.3, ,60, ,15.4, ,56, ,13.3, , 73, , 0, ,000, , , ,29.46, , , , , ,29.79, ,AA, , , ,29.81, 
23174,20130503,2353,11,SCT200, ,10.00, , , ,66, ,18.9, ,60, ,15.6, ,56, ,13.3, , 70, , 0, ,000, , , ,29.45, , , , , ,29.79, ,AA, , , ,29.80, 
23174,20130504,0053,11,SCT200, ,10.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, , 3, ,080, , , ,29.44, , , , , ,29.78, ,AA, , , ,29.79, 
23174,20130504,0153,11,SCT200, ,10.00, , , ,62, ,16.7, ,58, ,14.4, ,55, ,12.8, , 78, , 3, ,070, , , ,29.43, , , , , ,29.77, ,AA, , , ,29.78, 
23174,20130504,0253,11,FEW200, , 9.00, , , ,60, ,15.6, ,57, ,13.6, ,54, ,12.2, , 81, , 5, ,100, , , ,29.42, , , , , ,29.76, ,AA, , , ,29.77, 
23174,20130504,0319,11,FEW009 SCT200, , 9.00, , , ,59, ,15.0, ,56, ,13.4, ,54, ,12.0, , 84, , 6, ,080, , , ,29.42, , , , , ,M, ,SP, , , ,29.77, 
23174,20130504,0338,11,BKN009, , 6.00, ,BR, ,63, ,17.0, ,60, ,15.2, ,57, ,14.0, , 81, , 6, ,120, , , ,29.42, , , , , ,M, ,SP, , , ,29.77, 
23174,20130504,0353,11,BKN009, , 6.00, ,BR, ,62, ,16.7, ,60, ,15.3, ,58, ,14.4, , 87, , 7, ,140, , , ,29.42, , , , , ,29.76, ,AA, , , ,29.77, 
23174,20130504,0427,11,SCT009, , 6.00, ,BR, ,61, ,16.0, ,59, ,14.8, ,57, ,14.0, , 87, , 9, ,130, , , ,29.42, , , , , ,M, ,SP, , , ,29.77, 
23174,20130504,0453,11,SCT009, , 6.00, ,BR, ,60, ,15.6, ,58, ,14.6, ,57, ,13.9, , 90, , 6, ,090, , , ,29.42, , , , , ,29.76, ,AA, , , ,29.77, 
23174,20130504,0508,11,BKN009, , 7.00, , , ,61, ,16.0, ,58, ,14.2, ,55, ,13.0, , 81, , 7, ,090, , , ,29.43, , , , , ,M, ,SP, , , ,29.78, 
23174,20130504,0553,11,BKN009 BKN250, , 7.00, , , ,61, ,16.1, ,58, ,14.5, ,56, ,13.3, , 84, ,11, ,110, , , ,29.44, , , , , ,29.78, ,AA, , , ,29.79, 
23174,20130504,0632,11,BKN010 BKN270, , 7.00, , , ,63, ,17.0, ,58, ,14.6, ,55, ,13.0, , 75, ,10, ,110, , , ,29.45, , , , , ,M, ,SP, , , ,29.80, 
23174,20130504,0653,11,BKN011 BKN270, , 7.00, , , ,62, ,16.7, ,58, ,14.4, ,55, ,12.8, , 78, ,11, ,110, , , ,29.45, , , , , ,29.79, ,AA, , , ,29.80, 
23174,20130504,0739,11,BKN015 BKN270, , 8.00, , , ,63, ,17.0, ,58, ,14.6, ,55, ,13.0, , 75, ,14, ,120, ,23, ,29.45, , , , , ,M, ,SP, , , ,29.80, 
23174,20130504,0753,11,BKN015 BKN270, , 9.00, , , ,64, ,17.8, ,59, ,14.9, ,55, ,12.8, , 73, ,15, ,120, ,20, ,29.45, , , , , ,29.80, ,AA, , , ,29.80, 
23174,20130504,0846,11,SCT018 BKN270, ,10.00, , , ,66, ,19.0, ,59, ,15.0, ,54, ,12.0, , 65, ,11, ,130, , , ,29.46, , , , , ,M, ,SP, , , ,29.81, 
23174,20130504,0853,11,SCT018 BKN270, ,10.00, , , ,66, ,18.9, ,59, ,15.0, ,54, ,12.2, , 65, ,14, ,160, ,20, ,29.46, , , , , ,29.80, ,AA, , , ,29.81, 
23174,20130504,0953,11,FEW019 SCT280, ,10.00, , , ,67, ,19.4, ,60, ,15.2, ,54, ,12.2, , 63, ,10, ,130, ,17, ,29.46, , , , , ,29.81, ,AA, , , ,29.81, 
23174,20130504,1053,11,FEW021 SCT230, ,10.00, , , ,68, ,20.0, ,60, ,15.5, ,54, ,12.2, , 61, , 8, ,190, , , ,29.45, , , , , ,29.80, ,AA, , , ,29.80, 
23174,20130504,1153,11,FEW022 SCT230, ,10.00, , , ,71, ,21.7, ,61, ,15.8, ,53, ,11.7, , 53, , 8, ,120, , , ,29.43, , , , , ,29.78, ,AA, , , ,29.78, 
23174,20130504,1253,11,SCT230, ,10.00, , , ,71, ,21.7, ,60, ,15.6, ,52, ,11.1, , 51, ,11, ,150, , , ,29.42, , , , , ,29.77, ,AA, , , ,29.77, 
23174,20130504,1353,11,FEW230 SCT280, ,10.00, , , ,72, ,22.2, ,60, ,15.5, ,51, ,10.6, , 48, ,11, ,160, , , ,29.41, , , , , ,29.75, ,AA, , , ,29.76, 
23174,20130504,1453,11,FEW230 SCT280, ,10.00, , , ,71, ,21.7, ,61, ,15.8, ,53, ,11.7, , 53, , 9, ,130, , , ,29.41, , , , , ,29.75, ,AA, , , ,29.76, 
23174,20130504,1553,11,FEW200 BKN250, ,10.00, , , ,70, ,21.1, ,60, ,15.6, ,53, ,11.7, , 55, , 7, ,120, , , ,29.42, , , , , ,29.76, ,AA, , , ,29.77, 
23174,20130504,1653,11,SCT021 BKN250, , 8.00, , , ,65, ,18.3, ,60, ,15.4, ,56, ,13.3, , 73, , 7, ,240, , , ,29.43, , , , , ,29.78, ,AA, , , ,29.78, 
23174,20130504,1659,11,BKN021 BKN250, , 8.00, , , ,64, ,18.0, ,59, ,14.9, ,55, ,13.0, , 73, , 8, ,210, , , ,29.43, , , , , ,M, ,SP, , , ,29.78, 
23174,20130504,1753,11,OVC021, , 8.00, , , ,64, ,17.8, ,59, ,15.2, ,56, ,13.3, , 75, , 6, ,VR , , , ,29.43, , , , , ,29.78, ,AA, , , ,29.78, 
23174,20130504,1853,11,OVC021, , 8.00, , , ,63, ,17.2, ,59, ,14.9, ,56, ,13.3, , 78, , 8, ,200, , , ,29.45, , , , , ,29.80, ,AA, , , ,29.80, 
23174,20130504,1953,11,OVC023, ,10.00, , , ,61, ,16.1, ,57, ,13.9, ,54, ,12.2, , 78, , 9, ,220, , , ,29.48, , , , , ,29.82, ,AA, , , ,29.83, 
23174,20130504,2053,11,BKN021 OVC026, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 6, ,190, , , ,29.49, , , , , ,29.84, ,AA, , , ,29.84, 
23174,20130504,2153,11,SCT022 OVC028, ,10.00, , , ,60, ,15.6, ,56, ,13.3, ,53, ,11.7, , 78, , 5, ,190, , , ,29.50, , , , , ,29.84, ,AA, , , ,29.85, 
23174,20130504,2253,11,SCT022 OVC026, ,10.00, , , ,62, ,16.7, ,55, ,13.0, ,50, ,10.0, , 65, ,13, ,130, , , ,29.50, , , , , ,29.84, ,AA, , , ,29.85, 
23174,20130504,2353,11,OVC026, ,10.00, , , ,61, ,16.1, ,55, ,12.7, ,50, ,10.0, , 67, , 9, ,120, , , ,29.51, , , , , ,29.85, ,AA, , , ,29.86, 
23174,20130505,0053,11,OVC026, ,10.00, , , ,61, ,16.1, ,55, ,12.5, ,49, ,9.4, , 65, ,14, ,120, , , ,29.50, , , , , ,29.84, ,AA, , , ,29.85, 
23174,20130505,0153,11,OVC028, ,10.00, , , ,61, ,16.1, ,55, ,12.7, ,50, ,10.0, , 67, ,11, ,130, , , ,29.49, , , , , ,29.83, ,AA, , , ,29.84, 
23174,20130505,0253,11,BKN026 OVC034, ,10.00, , , ,61, ,16.1, ,55, ,12.7, ,50, ,10.0, , 67, , 7, ,150, , , ,29.49, , , , , ,29.83, ,AA, , , ,29.84, 
23174,20130505,0353,11,BKN026 OVC036, ,10.00, , , ,61, ,16.1, ,55, ,12.7, ,50, ,10.0, , 67, , 9, ,140, , , ,29.48, , , , , ,29.82, ,AA, , , ,29.83, 
23174,20130505,0408,11,FEW026 OVC036, ,10.00, , , ,61, ,16.0, ,55, ,12.7, ,50, ,10.0, , 67, ,10, ,140, , , ,29.48, , , , , ,M, ,SP, , , ,29.83, 
23174,20130505,0453,11,BKN028 OVC036, ,10.00, , , ,61, ,16.1, ,56, ,13.0, ,51, ,10.6, , 70, ,10, ,130, , , ,29.50, , , , , ,29.84, ,AA, , , ,29.85, 
23174,20130505,0553,11,SCT022 BKN033 OVC043, ,10.00, , , ,61, ,16.1, ,56, ,13.0, ,51, ,10.6, , 70, ,10, ,140, , , ,29.52, , , , , ,29.86, ,AA, , , ,29.87, 
23174,20130505,0653,11,BKN023 BKN029 OVC039, ,10.00, , , ,60, ,15.6, ,55, ,12.8, ,51, ,10.6, , 72, , 9, ,180, , , ,29.54, , , , , ,29.88, ,AA, , , ,29.89, 
23174,20130505,0744,11,SCT025 BKN030 OVC047, ,10.00, , , ,61, ,16.0, ,54, ,12.2, ,48, ,9.0, , 63, ,10, ,160, , , ,29.55, , , , , ,M, ,SP, , , ,29.90, 
23174,20130505,0753,11,SCT028 OVC049, ,10.00, , , ,62, ,16.7, ,55, ,12.7, ,49, ,9.4, , 63, ,10, ,150, , , ,29.55, , , , , ,29.90, ,AA, , , ,29.90, 
23174,20130505,0853,11,FEW035 OVC049, ,10.00, , , ,63, ,17.2, ,55, ,13.0, ,49, ,9.4, , 60, ,10, ,140, ,18, ,29.57, , , , , ,29.91, ,AA, , , ,29.92, 
23174,20130505,0953,11,FEW029 BKN038 OVC047, ,10.00, , , ,64, ,17.8, ,56, ,13.2, ,49, ,9.4, , 58, ,10, ,150, , , ,29.58, , , , , ,29.93, ,AA, , , ,29.93, 
23174,20130505,1053,11,FEW031 BKN055, ,10.00, , , ,68, ,20.0, ,57, ,13.9, ,48, ,8.9, , 49, ,13, ,160, , , ,29.58, , , , , ,29.93, ,AA, , , ,29.93, 
23174,20130505,1153,11,BKN040 OVC050, ,10.00, , , ,65, ,18.3, ,56, ,13.4, ,49, ,9.4, , 56, ,15, ,160, , , ,29.57, , , , , ,29.92, ,AA, , , ,29.92, 
23174,20130505,1253,11,FEW031 SCT060 BKN150, ,10.00, , , ,66, ,18.9, ,57, ,13.9, ,50, ,10.0, , 57, ,14, ,130, ,22, ,29.57, , , , , ,29.91, ,AA, , , ,29.92, 
23174,20130505,1353,11,SCT032 OVC150, ,10.00, , , ,66, ,18.9, ,57, ,13.7, ,49, ,9.4, , 54, ,11, ,160, ,17, ,29.57, , , , , ,29.92, ,AA, , , ,29.92, 
23174,20130505,1453,11,SCT030 BKN036 OVC060, ,10.00, , , ,65, ,18.3, ,57, ,13.7, ,50, ,10.0, , 59, ,10, ,190, ,24, ,29.56, , , , , ,29.91, ,AA, , , ,29.91, 
23174,20130505,1553,11,SCT030 BKN036 OVC060, ,10.00, , , ,65, ,18.3, ,57, ,13.7, ,50, ,10.0, , 59, ,10, ,170, , , ,29.56, , , , , ,29.91, ,AA, , , ,29.91, 
